EducationId, Gender, MaritalStatus, Age, Label
7,1,2,40,1
7,2,2,39,1
7,1,2,24,1
8,2,2,39,1
7,2,2,47,1
6,2,1,29,0
7,1,1,28,0
6,2,1,27,0
7,1,1,19,1
6,1,2,42,1
8,2,2,32,1
8,2,2,52,1
6,1,1,26,0
8,1,4,24,0
7,2,2,69,1
7,1,2,46,1
6,1,4,61,1
6,1,1,27,0
7,1,1,27,1
8,2,1,53,1
7,2,2,38,1
7,1,2,32,1
6,1,1,29,0
6,2,4,45,1
8,2,2,34,1
6,2,4,49,1
7,1,2,46,1
9,1,1,25,0
6,2,4,37,1
7,2,1,25,1
7,1,2,30,1
6,2,1,28,0
6,2,1,26,0
7,2,1,20,1
6,1,2,24,0
7,1,2,23,1
7,1,1,21,1
7,1,1,20,1
6,1,1,29,0
6,1,4,35,1
6,2,4,61,1
6,1,1,22,0
7,1,2,31,1
7,1,2,71,1
6,1,1,20,0
7,1,1,28,1
7,2,2,51,1
6,1,1,23,0
7,2,2,53,1
7,1,2,52,1
7,2,1,20,1
7,1,1,24,0
7,2,2,49,1
6,2,1,21,0
6,1,1,29,0
6,1,1,29,0
6,2,1,21,0
6,1,1,20,0
7,1,1,35,1
6,2,1,20,0
6,2,2,44,1
6,2,1,24,0
6,2,1,10,0
8,2,2,28,1
6,2,2,21,0
6,2,2,37,0
8,2,2,66,1
6,1,2,27,0
6,1,2,36,1
7,1,2,54,1
7,2,2,36,1
7,1,2,24,1
7,2,2,45,1
6,2,2,25,0
8,2,2,24,0
7,1,2,53,1
6,2,4,63,1
7,2,1,28,1
6,1,4,29,0
6,2,4,21,0
7,2,2,29,1
6,2,4,24,0
6,2,4,30,1
6,1,4,24,0
6,1,4,64,1
7,1,2,20,1
7,2,2,58,1
7,1,1,29,1
7,2,1,20,1
7,1,2,66,1
7,1,2,29,1
8,2,1,24,0
6,1,4,25,0
9,2,4,22,0
7,1,1,37,1
6,1,4,24,0
